145178576411570178	So excited to be on Ellen today!! Had such an amazing time. Her team is so sweet and we had a blast performing! #EllenPawsUp
145163671994245120	Soundchecking for JingleBall for Z100 tonight! Love getting emails that my set can't run over. (I'm sorry I really like singing!!)
144064879085617152	I can't believe The Marry The Night Video has over 10,000,000 views already. Who knows, your life story could be online cinema in 3 years.
143837172317949952	This might be my favorite performance ever!! Need a sedative. It's not airing till Friday!! I can't wait for you to see!! #MarryTheNight
143813608667750400	@theellenshow to perform and chat with my favorite gal!!
143527762446135299	On my way now to the Trevor Project Gala, miss little monsters. Had a blast performing last night, I can't wait until tour.
143524809043750912	Thank you Jonah for being brave enough to share your story + showing us  strength. You matter to millions. #TellYourStory #EndBullying
143521248931090432	Please everyone, take a moment to watch this. This is why I work so hard, this is why its wrong to hate: http://t.co/m4pPV2cH
145725131363332096	Dangling like a beast. #makingcanadaproud http://t.co/XID3NF0o
145683602519228416	RT @dankanter: Great time playing hockey with JB. Two Canadian boys trying make to Steve Yzerman proud.
145653709995642880	A little #hockey with the fellas
145605856925458432	Great visit just now with the kids at @childrenshealth here in DC. Thanks for having me
145591864169480193	Checkout the sickest app! Heads Up Cristiano" and add my username "JustinBieber" http://t.co/2CGXjoSW
145544933670006784	UK make sure to watch me and my brother @TinieTempah on my ITV Christmas Special #ThisIsJustinBieber on at 7pm Tonight!
145544472976048129	RT @UKBieberDay: Justin's ITV Special includes Justin performing, him at Chelsea FC and following him on a London bus tour! #thisisjustinbieber
145544388116873216	RT @LanaEllithorn: #ThisIsJustinBieber.. CANNOT WAIT. 7pm, ITV tonight, dont miss it guys :D
145544358018560000	RT @UKBieberDay: UK Beliebers... Let's get #thisisjustinbieber trending... Seeing as it's 4 hours till it airs on TV!
145544333884526592	RT @HoodieBieber: #Thisisjustinbieber tonight retweet if your hyped.
145544203768836096	RT @catchjbfever: what do you want for a gift this year? how about one of our new #BIEBERFEVER memberships? http://t.co/cxR5Bsoc
145380534481195008	love reading these - http://t.co/ZWY4c2aF - this is why i do it. #ILOVEMYFANS
145380327932698624	RT @sabrinarodo: @justinbieber i'm in love with fa la la! it's such a good tune x
145380301038829568	RT @Ms_Bieber21: @justinbieber Under the mistletoe is freaking AMAZING!!! #drummerboy
